Name,Capital,Population[1],Area (km²)[2],Population Density[2],License plate prefix,Phone area code,Largest Metropolitan,Abbr.,ISO,FIPS
Federal Territory of Kuala Lumpur,Kuala Lumpur,"1,627,172",243,6696,"W,V",03,Klang Valley,KUL,MY-14,
Federal Territory of Labuan,Victoria,"85,272",91,937,L,087,-,LBN,MY-15,MY15
Federal Territory of Putrajaya,Putrajaya,"67,964",49,1387,Putrajaya,03,-,PJY,MY-16,
Johor,Johor Bahru,"3,233,434","19,210",168,J,"07, 06 (Muar & Ledang)",Johor Bahru,JHR,MY-01,MY01
Kedah,Alor Setar,"1,890,098","9,500",199,K,04,Alor Setar,KDH,MY-02,MY02
Kelantan,Kota Bharu,"1,459,994","15,099",97,D,09,Kota Bharuū,KTN,MY-03,MY03
Malacca,Malacca Town,"788,706","1,664",474,M,06,Malacca Town,MLK,MY-04,MY04
Negeri Sembilan,Seremban,"997,071","6,686",149,N,06,Seremban,NSN,MY-05,MY05
Pahang,Kuantan,"1,443,365","36,137",40,C,"09, 03 (Genting), 05 (Cameron)",Kuantan,PHG,MY-06,MY06
Perak,Ipoh,"2,258,428","21,035",107,A,05,Ipoh,PRK,MY-08,MY07
Perlis,Kangar,"227,025",821,277,R,04,Kangar,PLS,MY-09,MY08
Penang,George Town,"1,520,143","1,048",1451,P,04,Penang,PNG,MY-07,MY09
Sabah,Kota Kinabalu,"3,120,040","73,631",42,S,087-089,Kota Kinabalu,SBH,MY-12,MY16
Sarawak,Kuching,"2,420,009","124,450",19,Q,081-086,Kuching,SWK,MY-13,MY11
Selangor,Shah Alam,"5,411,324","8,104",668,B,03,Klang Valley,SGR,MY-10,MY12
Terengganu,Kuala Terengganu,"1,015,776","13,035",78,T,09,Kuala Terengganu,TRG,MY-11,MY13
